152, 22344
183, 15592
237, 13695
121, 6557
179, 6778
100, 3359
64, 2117
100, 3335
85, 2826
161, 4678
49, 1230
209, 5397
146, 3750
169, 4342
100, 2557
93, 2372
234, 6054
72, 1830
231, 5953
156, 4035
64, 1624
122, 3126
129, 3321
331, 8561
94, 2395
130, 3328
187, 4824
56, 1414
29, 712
67, 1696
109, 2787
103, 2660
102, 2606
113, 2895
81, 2075
398, 10305
96, 2447
56, 1413
57, 1439
104, 2656
115, 2956
105, 2678
88, 2246
208, 5381
61, 1538
117, 2995
118, 3039
299, 7706
30, 753
184, 4729
301, 7776
119, 3042
48, 1204
102, 2635
233, 5993
213, 5497
67, 1700
119, 3042
127, 3275
179, 4611
137, 3520
167, 4306
338, 8746
105, 2692
59, 1487
166, 4280
308, 7968
84, 2138
352, 9103
157, 4031
138, 3542
181, 4677
136, 3486
200, 5153
143, 3661
326, 8435
94, 2398
79, 2036
156, 4006
30, 739
88, 2245
161, 4162
93, 2373
130, 3325
283, 7300
66, 1674
149, 3836
198, 5100
185, 4782
215, 5538
69, 1749
110, 2838
131, 3356
65, 1646
35, 868
88, 2257
138, 3535
259, 6699
213, 5479
379, 9806
