152, 2164
183, 2088
237, 2370
121, 1738
179, 2037
100, 1600
64, 1451
100, 1638
85, 1557
161, 1927
49, 1327
209, 2194
146, 1769
169, 2177
100, 1572
93, 1678
234, 2420
72, 1645
231, 2471
156, 1890
64, 1441
122, 1808
129, 1705
331, 3087
94, 1584
130, 2004
187, 2012
56, 1408
29, 1370
67, 1503
109, 1697
103, 1614
102, 1674
113, 1879
81, 1562
398, 3196
96, 1822
56, 1468
57, 1363
104, 1811
115, 1797
105, 1822
88, 1593
208, 2234
61, 1406
117, 1729
118, 1687
299, 2663
30, 1241
184, 2170
301, 2870
119, 2115
48, 1276
102, 1747
233, 2420
213, 2207
67, 1496
119, 1764
127, 2015
179, 2167
137, 2058
167, 2004
338, 2961
105, 1782
59, 5537
166, 2291
308, 2824
84, 1575
352, 3388
157, 2029
138, 1932
181, 2102
136, 1938
200, 2596
143, 1945
326, 2833
94, 1650
79, 1818
156, 1983
30, 1690
88, 1664
161, 2027
93, 1633
130, 1951
283, 2685
66, 1483
149, 2202
198, 2234
185, 2105
215, 2279
69, 1448
110, 1783
131, 1862
65, 1550
35, 1350
88, 1921
138, 2007
259, 2418
213, 2502
379, 3152
